Sentence ID,Sentence,Conc.MEDIAN,Conc.MEAN,Conc.SD,# Words Found,Found Words,All Words
1,Miracles thicker than fog on flight of No 10607.,3.9,3.5066666666666664,1.3923122255203155,3 out of 4,"[(u'miracle', 1.96), (u'fog', 4.66), (u'flight', 3.9)]","[u'miracle', u'thicker', u'fog', u'flight']"
2,It was the day after Christmas.,3.665,3.665,0.36062445840513907,2 out of 2,"[(u'day', 3.92), (u'christmas', 3.41)]","[u'day', u'christmas']"
3,"As I was wheeled backward through the glaring hospital corridor, rows of overhead lights looming up behind me like little suns and then fading away to the front, I remember thinking that this day was just 45 years since the day of the five miracles.",3.635,3.4450000000000003,0.9965985629390471,24 out of 24,"[(u'wheel', 4.86), (u'backward', 3.41), (u'glaring', 2.96), (u'hospital', 4.64), (u'corridor', 4.72), (u'row', 3.93), (u'overhead', 3.6), (u'light', 4.21), (u'loom', 4.5), (u'behind', 3.48), (u'like', 1.89), (u'little', 3.67), (u'sun', 4.83), (u'fading', 2.86), (u'away', 2.23), (u'front', 3.77), (u'remember', 2.41), (u'think', 2.41), (u'day', 3.92), (u'year', 3.25), (u'since', 1.38), (u'day', 3.92), (u'five', 3.87), (u'miracle', 1.96)]","[u'wheel', u'backward', u'glaring', u'hospital', u'corridor', u'row', u'overhead', u'light', u'loom', u'behind', u'like', u'little', u'sun', u'fading', u'away', u'front', u'remember', u'think', u'day', u'year', u'since', u'day', u'five', u'miracle']"
4,The miracles that had come just after Christmas so long ago.,2.72,2.5380000000000003,0.8351167583038914,5 out of 5,"[(u'miracle', 1.96), (u'come', 2.72), (u'christmas', 3.41), (u'long', 3.18), (u'ago', 1.42)]","[u'miracle', u'come', u'christmas', u'long', u'ago']"
5,The anesthetist had warned me that the operating room would feel cold.,3.32,3.1014285714285714,1.1714297328681815,7 out of 7,"[(u'anesthetist', 3.32), (u'warn', 2.89), (u'operating', 3.46), (u'room', 4.79), (u'would', 1.12), (u'feel', 2.28), (u'cold', 3.85)]","[u'anesthetist', u'warn', u'operating', u'room', u'would', u'feel', u'cold']"
6,He came to introduce himself to me in the little cubicle where I lay on the gurney.,3.7649999999999997,3.73,0.9365041377377891,6 out of 6,"[(u'come', 2.72), (u'introduce', 2.62), (u'little', 3.67), (u'cubicle', 4.83), (u'lay', 3.86), (u'gurney', 4.68)]","[u'come', u'introduce', u'little', u'cubicle', u'lay', u'gurney']"
7,"My wife, Kathleen, held my hand and tried to look calm.",3.3200000000000003,3.4233333333333333,0.9231828998994004,6 out of 7,"[(u'wife', 4.13), (u'hold', 3.68), (u'hand', 4.72), (u'try', 2.22), (u'look', 2.96), (u'calm', 2.83)]","[u'wife', u'kathleen', u'hold', u'hand', u'try', u'look', u'calm']"
8,But even the corridor already felt cold in my hospital gown.,3.85,3.6128571428571425,1.171092286225617,7 out of 7,"[(u'even', 2.79), (u'corridor', 4.72), (u'already', 1.64), (u'felt', 3.04), (u'cold', 3.85), (u'hospital', 4.64), (u'gown', 4.61)]","[u'even', u'corridor', u'already', u'felt', u'cold', u'hospital', u'gown']"
9,Everything was in slow motion.,3.28,3.1266666666666665,0.7616648431779777,3 out of 3,"[(u'everything', 2.3), (u'slow', 3.28), (u'motion', 3.8)]","[u'everything', u'slow', u'motion']"
10,"The distance to the operating room was probably only 100 feet, but the trip seemed to take half an hour.",3.2199999999999998,3.2939999999999996,1.0517836701950116,10 out of 10,"[(u'distance', 3.17), (u'operating', 3.46), (u'room', 4.79), (u'probably', 1.73), (u'foot', 4.9), (u'trip', 3.71), (u'seem', 1.75), (u'take', 3.06), (u'half', 3.27), (u'hour', 3.1)]","[u'distance', u'operating', u'room', u'probably', u'foot', u'trip', u'seem', u'take', u'half', u'hour']"
