Sentence ID,Sentence,Conc.MEDIAN,Conc.MEAN,Conc.SD,# Words Found,Percentage,Found Words,All Words
1,Miracles thicker than fog on flight of No 10607.,3.9,3.5066666666666664,1.3923122255203155,3 out of 4,75.0%,"[('miracle', 1.96), ('fog', 4.66), ('flight', 3.9)]","['miracle', 'thicker', 'fog', 'flight']"
2,It was the day after Christmas.,3.665,3.665,0.36062445840513907,2 out of 2,100.0%,"[('day', 3.92), ('christmas', 3.41)]","['day', 'christmas']"
3,"As I was wheeled backward through the glaring hospital corridor, rows of overhead lights looming up behind me like little suns and then fading away to the front, I remember thinking that this day was just 45 years since the day of the five miracles.",3.635,3.4450000000000003,0.9965985629390471,24 out of 24,100.0%,"[('wheel', 4.86), ('backward', 3.41), ('glaring', 2.96), ('hospital', 4.64), ('corridor', 4.72), ('row', 3.93), ('overhead', 3.6), ('light', 4.21), ('loom', 4.5), ('behind', 3.48), ('like', 1.89), ('little', 3.67), ('sun', 4.83), ('fading', 2.86), ('away', 2.23), ('front', 3.77), ('remember', 2.41), ('think', 2.41), ('day', 3.92), ('year', 3.25), ('since', 1.38), ('day', 3.92), ('five', 3.87), ('miracle', 1.96)]","['wheel', 'backward', 'glaring', 'hospital', 'corridor', 'row', 'overhead', 'light', 'loom', 'behind', 'like', 'little', 'sun', 'fading', 'away', 'front', 'remember', 'think', 'day', 'year', 'since', 'day', 'five', 'miracle']"
4,The miracles that had come just after Christmas so long ago.,2.72,2.5380000000000003,0.8351167583038914,5 out of 5,100.0%,"[('miracle', 1.96), ('come', 2.72), ('christmas', 3.41), ('long', 3.18), ('ago', 1.42)]","['miracle', 'come', 'christmas', 'long', 'ago']"
5,The anesthetist had warned me that the operating room would feel cold.,3.32,3.1014285714285714,1.1714297328681815,7 out of 7,100.0%,"[('anesthetist', 3.32), ('warn', 2.89), ('operating', 3.46), ('room', 4.79), ('would', 1.12), ('feel', 2.28), ('cold', 3.85)]","['anesthetist', 'warn', 'operating', 'room', 'would', 'feel', 'cold']"
6,He came to introduce himself to me in the little cubicle where I lay on the gurney.,3.7649999999999997,3.73,0.9365041377377891,6 out of 6,100.0%,"[('come', 2.72), ('introduce', 2.62), ('little', 3.67), ('cubicle', 4.83), ('lay', 3.86), ('gurney', 4.68)]","['come', 'introduce', 'little', 'cubicle', 'lay', 'gurney']"
7,"My wife, Kathleen, held my hand and tried to look calm.",3.3200000000000003,3.4233333333333333,0.9231828998994004,6 out of 7,85.7142857143%,"[('wife', 4.13), ('hold', 3.68), ('hand', 4.72), ('try', 2.22), ('look', 2.96), ('calm', 2.83)]","['wife', 'kathleen', 'hold', 'hand', 'try', 'look', 'calm']"
8,But even the corridor already felt cold in my hospital gown.,3.85,3.6128571428571425,1.171092286225617,7 out of 7,100.0%,"[('even', 2.79), ('corridor', 4.72), ('already', 1.64), ('felt', 3.04), ('cold', 3.85), ('hospital', 4.64), ('gown', 4.61)]","['even', 'corridor', 'already', 'felt', 'cold', 'hospital', 'gown']"
9,Everything was in slow motion.,3.28,3.1266666666666665,0.7616648431779777,3 out of 3,100.0%,"[('everything', 2.3), ('slow', 3.28), ('motion', 3.8)]","['everything', 'slow', 'motion']"
10,"The distance to the operating room was probably only 100 feet, but the trip seemed to take half an hour.",3.2199999999999998,3.2939999999999996,1.0517836701950116,10 out of 10,100.0%,"[('distance', 3.17), ('operating', 3.46), ('room', 4.79), ('probably', 1.73), ('foot', 4.9), ('trip', 3.71), ('seem', 1.75), ('take', 3.06), ('half', 3.27), ('hour', 3.1)]","['distance', 'operating', 'room', 'probably', 'foot', 'trip', 'seem', 'take', 'half', 'hour']"
11,I had plenty of time to think.,2.41,2.6233333333333335,0.38695391629150516,3 out of 3,100.0%,"[('plenty', 2.39), ('time', 3.07), ('think', 2.41)]","['plenty', 'time', 'think']"
12,"I remembered the lucky accident that brought me to this rolling gurney so early on a Tuesday morning - the magnetic resonator imaging test that looked for a cause of hearing loss in my left ear, but found instead, a tumor nestled against the left side of my brain.",3.275,3.233846153846154,0.9246883882609402,26 out of 26,100.0%,"[('remember', 2.41), ('lucky', 1.76), ('accident', 3.26), ('bring', 2.55), ('roll', 4.16), ('gurney', 4.68), ('early', 2.25), ('tuesday', 3.29), ('morning', 3.44), ('magnetic', 3.4), ('resonator', 2.55), ('imaging', 2.79), ('test', 3.93), ('look', 2.96), ('cause', 2.43), ('hearing', 3.18), ('loss', 2.19), ('left', 3.7), ('ear', 5.0), ('find', 2.63), ('instead', 1.48), ('tumor', 4.56), ('nestle', 3.41), ('left', 3.7), ('side', 3.68), ('brain', 4.69)]","['remember', 'lucky', 'accident', 'bring', 'roll', 'gurney', 'early', 'tuesday', 'morning', 'magnetic', 'resonator', 'imaging', 'test', 'look', 'cause', 'hearing', 'loss', 'left', 'ear', 'find', 'instead', 'tumor', 'nestle', 'left', 'side', 'brain']"
13,"I looked it up in our family medical book, reading about paralysis, blindness, seizures, or worse.",3.56,3.4855555555555555,0.913825901240372,9 out of 9,100.0%,"[('look', 2.96), ('family', 4.23), ('medical', 3.07), ('book', 4.9), ('read', 3.56), ('paralysis', 3.52), ('blindness', 3.73), ('seizure', 3.79), ('worse', 1.61)]","['look', 'family', 'medical', 'book', 'read', 'paralysis', 'blindness', 'seizure', 'worse']"
14,"I remembered the clear, calm voice of Dr John Wright explaining how he was going to cut a hole in my skull and take it out; I remembered, too, his calm recital of possible after-effects.",3.15,3.2953333333333332,1.0065206453539883,15 out of 17,88.2352941176%,"[('remember', 2.41), ('clear', 3.55), ('calm', 2.83), ('voice', 4.13), ('john', 3.48), ('explain', 1.97), ('go', 3.15), ('cut', 4.55), ('hole', 4.81), ('skull', 4.83), ('take', 3.06), ('remember', 2.41), ('calm', 2.83), ('recital', 3.86), ('possible', 1.56)]","['remember', 'clear', 'calm', 'voice', 'dr', 'john', 'wright', 'explain', 'go', 'cut', 'hole', 'skull', 'take', 'remember', 'calm', 'recital', 'possible']"
15,"I recalled Kathleen's marvelous calm as Christmas approached, as I frantically graded papers for 150 students at the university and tried to think of everything that needed doing before the operation.",2.74,3.0133333333333336,1.0584197565013518,15 out of 16,93.75%,"[('recall', 2.14), ('marvelous', 2.04), ('calm', 2.83), ('christmas', 3.41), ('approach', 2.74), ('frantically', 2.48), ('grade', 3.0), ('paper', 4.93), ('student', 4.92), ('university', 4.65), ('try', 2.22), ('think', 2.41), ('everything', 2.3), ('need', 1.69), ('operation', 3.44)]","['recall', 'kathleen', 'marvelous', 'calm', 'christmas', 'approach', 'frantically', 'grade', 'paper', 'student', 'university', 'try', 'think', 'everything', 'need', 'operation']"
16,"I knew, though, that she was seething with worry.",2.035,1.955,0.6295236294214857,4 out of 4,100.0%,"[('know', 1.68), ('though', 1.2), ('seethe', 2.39), ('worry', 2.55)]","['know', 'though', 'seethe', 'worry']"
17,She did not even blanch when I arranged to have her signature added to the checking account for a small publishing business I ran outside of university time.,3.1500000000000004,3.4774999999999996,0.7106862880343197,12 out of 14,85.7142857143%,"[('even', 2.79), ('arrange', 2.79), ('signature', 4.43), ('add', 3.0), ('account', 3.08), ('small', 3.22), ('publishing', 2.86), ('business', 3.28), ('run', 4.31), ('outside', 4.25), ('university', 4.65), ('time', 3.07)]","['even', 'blanch', 'arrange', 'signature', 'add', 'checking', 'account', 'small', 'publishing', 'business', 'run', 'outside', 'university', 'time']"
18,Just in case.,3.93,3.93,N/A,1 out of 1,100.0%,"[('case', 3.93)]",['case']
19,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",3.665,3.28,1.0886076734373438,10 out of 13,76.9230769231%,"[('remember', 2.41), ('christmas', 3.41), ('day', 3.92), ('daughter', 4.79), ('son', 4.14), ('wife', 4.13), ('try', 2.22), ('act', 2.46), ('normal', 1.4), ('day', 3.92)]","['remember', 'christmas', 'day', 'daughter', 'sheila', 'son', 'brian', 'wife', 'debbie', 'try', 'act', 'normal', 'day']"
20,I felt the gurney shoulder its way through the swinging doors behind me.,4.54,3.974285714285714,1.0180022452964292,7 out of 7,100.0%,"[('felt', 3.04), ('gurney', 4.68), ('shoulder', 4.93), ('way', 2.34), ('swing', 4.54), ('door', 4.81), ('behind', 3.48)]","['felt', 'gurney', 'shoulder', 'way', 'swing', 'door', 'behind']"
21,The glare of the operating room surprised me.,3.645,3.83,0.6847383928674269,4 out of 4,100.0%,"[('glare', 3.83), ('operating', 3.46), ('room', 4.79), ('surprise', 3.24)]","['glare', 'operating', 'room', 'surprise']"
22,"So did the noise: chatter, clatter, rattle.",3.425,3.5275,0.3861239006674759,4 out of 4,100.0%,"[('noise', 3.52), ('chatter', 3.33), ('clatter', 3.19), ('rattle', 4.07)]","['noise', 'chatter', 'clatter', 'rattle']"
23,I saw Dr Wright over to the right looking at four bright pictures suspended on the wall.,3.6950000000000003,3.7875,0.7758635741638382,8 out of 10,80.0%,"[('saw', 4.46), ('right', 3.47), ('look', 2.96), ('four', 3.37), ('bright', 3.92), ('picture', 4.52), ('suspend', 2.74), ('wall', 4.86)]","['saw', 'dr', 'wright', 'right', 'look', 'four', 'bright', 'picture', 'suspend', 'wall']"
24,"I had seen them before: my own skull, with the bright, pear-shaped tumor standing out against the darker background of brain and bone.",4.359999999999999,4.19125,0.6760903891386968,8 out of 9,88.8888888889%,"[('see', 3.21), ('skull', 4.83), ('bright', 3.92), ('tumor', 4.56), ('stand', 4.16), ('background', 3.26), ('brain', 4.69), ('bone', 4.9)]","['see', 'skull', 'bright', 'tumor', 'stand', 'darker', 'background', 'brain', 'bone']"
25,A clock on the wall said 10 minutes to 8 o'clock.,3.95,3.87,1.2396235987858035,4 out of 4,100.0%,"[('clock', 5.0), ('wall', 4.86), ('say', 2.58), ('minute', 3.04)]","['clock', 'wall', 'say', 'minute']"
26,A hand grabbed my chin.,4.72,4.376666666666666,0.7467485074195549,3 out of 3,100.0%,"[('hand', 4.72), ('grab', 3.52), ('chin', 4.89)]","['hand', 'grab', 'chin']"
